"","state","Lat","Lon","Total","BNT","BNI","TBT","BBI","TBI","TBIR","year_start","year_end"
"1","ME",47.34,-69.14,103,0.495145631,0.126213592,0.368932039,0.009708738,0,0,1662,1835
"2","ME",47.1615,-69.4455,56,0.553571429,0.142857143,0.214285715,0.089285714,0,0,1662,1835
"3","ME",47.151,-68.135,75,0.44,0.253333333,0.293333334,0,0,0,1662,1835
"4","ME",47.15,-68.599,70,0.314285714,0.171428572,0.514285714,0,0,0,1662,1835
"5","ME",47.143,-68.379,98,0.489795919,0.214285714,0.275510204,0.010204082,0,0,1662,1835
"6","ME",47.14,-69.03,89,0.438202248,0.146067416,0.348314606,0.02247191,0,0,1662,1835
"7","ME",47.11,-67.94,74,0.567567568,0.148648649,0.256756758,0,0,0,1662,1835
"8","ME",46.98,-69.49,96,0.416666667,0.197916666,0.3125,0.052083333,0,0,1662,1835
"9","ME",46.97846,-68.13091,420,0.404255319,0.210401891,0.360081054,0,0,0,1662,1835
"10","ME",46.976,-69.139,58,0.379310344,0.275862069,0.344827586,0,0,0,1662,1835
"11","ME",46.974,-68.887,61,0.426229508,0.180327869,0.37704918,0,0,0,1662,1835
"12","ME",46.964,-68.6166,51,0.392156863,0.176470588,0.431372549,0,0,0,1662,1835
"13","ME",46.91,-68.38,84,0.428571428,0.202380952,0.357142857,0,0,0,1662,1835
"14","ME",46.85,-67.93,51,0.333333334,0.137254902,0.529411765,0,0,0,1662,1835
"15","ME",46.8055,-69.672,68,0.514705883,0.220588236,0.264705882,0,0,0,1662,1835
"16","ME",46.8,-69.41,55,0.418181818,0.181818182,0.399999999,0,0,0,1662,1835
"17","ME",46.795,-68.886,51,0.509803922,0.215686275,0.274509803,0,0,0,1662,1835
"18","ME",46.7945,-68.624,49,0.285714286,0.285714286,0.36734694,0,0,0,1662,1835
"19","ME",46.793,-69.155,51,0.470588235,0.117647059,0.392156863,0.019607843,0,0,1662,1835
"20","ME",46.789,-68.122,49,0.265306123,0.224489796,0.469387755,0,0,0,1662,1835
"21","ME",46.7009,-68.2394,71,0.366197183,0.338028169,0.253521127,0,0,0,1662,1835
"22","ME",46.615,-69.14,53,0.603773585,0.056603774,0.339622642,0,0,0,1662,1835
"23","ME",46.61415,-68.10668,142,0.514084507,0.183098592,0.239436621,0.014084507,0,0,1662,1835
"24","ME",46.6097,-69.4045,53,0.490566037,0.245283019,0.245283019,0.018867925,0,0,1662,1835
"25","ME",46.607,-69.682,51,0.450980392,0.333333333,0.215686274,0,0,0,1662,1835
"26","ME",46.606,-68.889,46,0.413043478,0.152173913,0.391304348,0,0,0,1662,1835
"27","ME",46.606,-68.364,51,0.62745098,0.078431373,0.294117646,0,0,0,1662,1835
"28","ME",46.604,-68.621,59,0.338983051,0.101694915,0.559322034,0,0,0,1662,1835
"29","ME",46.58,-67.92,68,0.397058823,0.088235294,0.5,0,0,0,1662,1835
"30","ME",46.439,-69.666,73,0.520547945,0.191780822,0.232876712,0,0,0,1662,1835
"31","ME",46.439,-69.403,59,0.457627119,0.271186441,0.237288136,0,0,0,1662,1835
"32","ME",46.439,-68.886,49,0.408163265,0.204081632,0.367346939,0,0,0,1662,1835
"33","ME",46.437,-69.147,52,0.403846154,0.153846154,0.384615385,0.019230769,0,0,1662,1835
"34","ME",46.436,-69.918,69,0.478260869,0.231884058,0.15942029,0.014492754,0,0,1662,1835
"35","ME",46.431,-68.641,47,0.340425532,0.212765958,0.446808509,0,0,0,1662,1835
"36","ME",46.425,-68.108,57,0.438596491,0.122807018,0.333333333,0,0,0,1662,1835
"37","ME",46.36,-68.37,84,0.416666666,0.095238095,0.452380953,0,0,0,1662,1835
"38","ME",46.27,-67.845,49,0.326530612,0.183673469,0.408163265,0,0,0,1662,1835
"39","ME",46.263,-70.174,49,0.469387755,0.163265306,0.346938775,0,0,0,1662,1835
"40","ME",46.26,-69.66,83,0.373493976,0.108433735,0.445783133,0,0,0,1662,1835
"41","ME",46.259,-69.902,62,0.677419355,0.080645161,0.225806452,0,0,0,1662,1835
"42","ME",46.258,-69.144,56,0.446428571,0.232142857,0.267857143,0.017857143,0,0,1662,1835
"43","ME",46.256,-69.416,62,0.548387097,0.177419355,0.241935484,0,0,0,1662,1835
"44","ME",46.24,-68.77,71,0.352112676,0.338028169,0.239436619,0,0,0,1662,1835
"45","ME",46.15,-68.14,99,0.303030303,0.151515151,0.404040405,0,0,0,1662,1835
"46","ME",46.083,-68.879,50,0.44,0.16,0.34,0,0,0,1662,1835
"47","ME",46.08,-69.921,51,0.509803921,0.176470588,0.294117647,0,0,0,1662,1835
"48","ME",46.08,-69.405,52,0.480769231,0.134615384,0.346153847,0.019230769,0,0,1662,1835
"49","ME",46.08,-68.48,82,0.195121951,0.170731707,0.585365854,0,0,0,1662,1835
"50","ME",46.075,-70.18,74,0.527027027,0.040540541,0.41891892,0,0,0,1662,1835
"51","ME",46.07,-69.666,67,0.477611941,0.104477612,0.388059701,0.014925373,0,0,1662,1835
"52","ME",46,-69.14,89,0.494382023,0.168539326,0.269662921,0,0.011235955,0,1662,1835
"53","ME",45.97,-67.98,109,0.366972477,0.165137615,0.385321102,0,0,0,1662,1835
"54","ME",45.933,-70.156,59,0.542372881,0.13559322,0.288135594,0.016949153,0,0,1662,1835
"55","ME",45.9,-67.85,614,0.379478827,0.114006514,0.379478826,0.001628664,0,0,1662,1835
"56","ME",45.897,-68.365,50,0.22,0.14,0.56,0,0,0,1662,1835
"57","ME",45.89597,-68.4966,48,0.244897959,0.12244898,0.514880953,0,0,0,1662,1835
"58","ME",45.8796,-69.40497,151,0.38410596,0.198675497,0.337748345,0,0,0,1662,1835
"59","ME",45.84,-69.74,60,0.266666666,0.15,0.5,0.066666667,0,0,1662,1835
"60","ME",45.80767,-68.3267,124,0.14516129,0.169354839,0.572580645,0,0,0,1662,1835
"61","ME",45.7981,-69.4196,213,0.511737089,0.136150235,0.291079813,0,0,0,1662,1835
"62","ME",45.7946,-69.9821,138,0.427536232,0.15942029,0.384057971,0.007246377,0.014492754,0,1662,1835
"63","ME",45.721,-68.629,50,0.22,0.18,0.38,0.08,0,0,1662,1835
"64","ME",45.71,-68.07,135,0.333333333,0.118518518,0.414814815,0,0,0,1662,1835
"65","ME",45.702,-69.38,70,0.428571429,0.128571429,0.385714285,0,0,0,1662,1835
"66","ME",45.702,-69.128,51,0.392156863,0.039215686,0.431372549,0,0,0,1662,1835
"67","ME",45.676,-68.374,53,0.188679246,0.20754717,0.490566038,0,0,0,1662,1835
"68","ME",45.64,-69.87,131,0.312977099,0.221374046,0.419847328,0.015267176,0,0,1662,1835
"69","ME",45.63,-70.08,281,0.537366548,0.078291815,0.345195729,0,0,0,1662,1835
"70","ME",45.60645,-70.18909,209,0.492822967,0.071770335,0.406698565,0.004784689,0,0,1662,1835
"71","ME",45.56,-70.52,81,0.555555555,0.061728395,0.333333333,0,0,0,1662,1835
"72","ME",45.538233,-68.3705,63,0.238095238,0.158730159,0.46031746,0,0,0.015873016,1662,1835
"73","ME",45.51,-69.37,47,0.361702128,0.063829787,0.44680851,0.063829787,0,0,1662,1835
"74","ME",45.471,-68.345,136,0.213235294,0.161764706,0.448529412,0,0,0.007352941,1662,1835
"75","ME",45.43313,-67.92417,296,0.304054054,0.097972973,0.496621622,0.003378378,0,0,1662,1835
"76","ME",45.3618,-70.5538,70,0.628571428,0.057142857,0.285714285,0.014285714,0,0,1662,1835
"77","ME",45.3563,-67.63225,122,0.180327869,0.139344262,0.524590163,0,0,0,1662,1835
"78","ME",45.3478,-68.142,71,0.169014085,0.197183098,0.436619718,0.014084507,0,0,1662,1835
"79","ME",45.29,-68.96,132,0.174242424,0.083333334,0.462121212,0.007575758,0,0.015151515,1662,1835
"80","ME",45.2682,-70.9166,65,0.646153846,0,0.353846154,0,0,0,1662,1835
"81","ME",45.25446,-70.63631,75,0.38961039,0.194805195,0.286406927,0.025974026,0.038961039,0,1662,1835
"82","ME",45.24,-69.48,51,0.156862745,0.078431372,0.490196078,0.019607843,0,0,1662,1835
"83","ME",45.2324,-68.3828,169,0.094674556,0.065088758,0.568047337,0,0,0,1662,1835
"84","ME",45.23,-68.51,294,0.108843537,0.129251701,0.469387754,0,0,0,1662,1835
"85","ME",45.18,-70.49,207,0.487922705,0.062801932,0.420289855,0.004830918,0,0,1662,1835
"86","ME",45.18,-69.15,53,0.037735849,0.150943397,0.603773585,0,0,0,1662,1835
"87","ME",45.17,-68.72,260,0.184615385,0.157692308,0.403846155,0.015384615,0,0.042307692,1662,1835
"88","ME",45.161,-70.7466,69,0.637681159,0.014492754,0.289855073,0,0,0,1662,1835
"89","ME",45.11,-70.94,101,0.495049505,0.04950495,0.455445544,0,0,0,1662,1835
"90","ME",45.08,-68.58,104,0.173076923,0.115384615,0.39423077,0.028846154,0,0.038461538,1662,1835
"91","ME",45.06,-70.45,52,0.423076923,0.057692307,0.480769231,0,0,0,1662,1835
"92","ME",45.03,-70.69,73,0.506849315,0.02739726,0.452054795,0,0,0,1662,1835
"93","ME",45.016167,-69.889085,108,0.046296296,0.027777778,0.703703704,0.027777778,0,0.018518519,1662,1835
"94","ME",45.01,-69.09,67,0.268656716,0.029850746,0.477611941,0,0,0.074626866,1662,1835
"95","NH",45.00613,-71.29574,176,0.505681818,0.011363636,0.420454546,0,0.011363636,0,1673,1850
"96","ME",44.99,-67.11,247,0.352226721,0.230769231,0.24291498,0.08097166,0,0,1662,1835
"97","ME",44.95,-67.22,148,0.5,0.182432432,0.155405405,0.033783784,0,0,1662,1835
"98","ME",44.924335,-69.871485,100,0.09,0.07,0.61,0,0,0.01,1662,1835
"99","ME",44.91,-70.93,122,0.336065574,0.139344262,0.467213115,0.024590164,0,0,1662,1835
"100","ME",44.91,-68.71,294,0.078231293,0.200680272,0.43537415,0.003401361,0,0.027210884,1662,1835
"101","ME",44.85,-68.61,63,0.126984127,0.190476191,0.301587302,0.079365079,0,0.063492063,1662,1835
"102","ME",44.84,-67.02,108,0.675925926,0.037037037,0.268518519,0.009259259,0,0,1662,1835
"103","ME",44.83,-69.8,93,0.17204301,0.053763441,0.569892473,0,0,0,1662,1835
"104","ME",44.83,-68.78,130,0.146153846,0.130769231,0.299999999,0.076923077,0,0.130769231,1662,1835
"105","ME",44.8277,-70.6042,194,0.453608247,0.010309278,0.484536083,0,0,0,1662,1835
"106","ME",44.81,-69.32,112,0.160714285,0.142857143,0.428571428,0,0,0.017857143,1662,1835
